   0.0000000e+00   3.7701634e+00
   1.0409601e+00   3.7551075e+00
   2.3191527e+00   3.7566504e+00
   3.5843908e+00   3.7452274e+00
   4.7805372e+00   3.7402920e+00
   5.8557736e+00   3.7402264e+00
   6.9870654e+00   3.7203613e+00
   8.1058025e+00   3.7202931e+00
   9.4094155e+00   3.7166550e+00
   1.0641922e+01   3.7223626e+00
   1.1952646e+01   3.7009310e+00
   1.3116417e+01   3.7044187e+00
   1.4128495e+01   3.6910122e+00
   1.5119241e+01   3.6802760e+00
   1.6055472e+01   3.6286191e+00
   1.7039108e+01   3.5226905e+00
   1.7823647e+01   3.3678432e+00
   1.8437532e+01   3.1551789e+00
   1.8918685e+01   2.8949263e+00
   1.9350000e+01   2.5675123e+00
   1.9630000e+01   2.2774651e+00
   1.9897009e+01   1.9998765e+00
   2.0110330e+01   1.7169541e+00
   2.0314169e+01   1.4447081e+00
   2.0574893e+01   1.1528863e+00
   2.0769251e+01   8.9131674e-01
   2.0977831e+01   6.1017393e-01
   2.1110564e+01   3.8775279e-01
   2.1260000e+01   1.7221795e-01
   2.1380000e+01   0.0000000e+00
