   0.0000000e+00   4.7541749e+00
   1.0953784e+00   4.7528828e+00
   2.1905316e+00   4.7579101e+00
   3.5868845e+00   4.7503662e+00
   4.7918872e+00   4.7411915e+00
   5.9155773e+00   4.7541319e+00
   7.0472686e+00   4.7386136e+00
   8.2482316e+00   4.7357626e+00
   9.4166413e+00   4.7360653e+00
   1.0564703e+01   4.7379440e+00
   1.1655636e+01   4.7129282e+00
   1.2815583e+01   4.6484016e+00
   1.3832718e+01   4.5190106e+00
   1.4595433e+01   4.3120773e+00
   1.5245455e+01   4.0387063e+00
   1.5855991e+01   3.6838957e+00
   1.6245392e+01   3.3962269e+00
   1.6553464e+01   3.1275107e+00
   1.6804557e+01   2.8619422e+00
   1.7062178e+01   2.5995376e+00
   1.7337839e+01   2.3624361e+00
   1.7588947e+01   2.1000298e+00
   1.7766790e+01   1.8407669e+00
   1.7913890e+01   1.6210248e+00
   1.8075574e+01   1.3870561e+00
   1.8269891e+01   1.1657451e+00
   1.8382690e+01   9.2543909e-01
   1.8560346e+01   6.2822843e-01
   1.8737845e+01   2.9939467e-01
   1.8899216e+01   0.0000000e+00
